created_at,username,full_text,favorite_count,quote_count,reply_count,retweet_count,label sentimen
Fri Dec 13 18:46:26 +0000 2024,MulyanaIkh94633,@adekoedin3 @DoankWarto Yg menentkan 10.000 msuk akal atau tdk bisa dilihat dri harga beli bahan2 mkanan untuk program makan siang bergizi itu memakan berapa % dri anggaran lalu lnjut k upah yg bkin masakan kena berapa % logistik kena brpa % Klau dtanya transparan bsa keliatan itu masuk akal atau tdk,0,0,0,0,netral
Fri Dec 13 15:38:10 +0000 2024,immanuel_padang,@Uki23 Saya mau tanya gmn cara pelaksanaan makan bergizi??anggaran drmn jika ingin dimulai bulan januarai 2025 krna APBN sdh selesai dan APBD daerah rata2 sudah final Apakah mnrt anda anggaran 10rb bisa diterapkan disemua daerah?? Bagaimana juknis pelaksanaannya di tiap2 sekolah?,0,0,0,0,netral
Fri Dec 13 13:46:26 +0000 2024,jojomijumaru,@IrawanRommi Ingat tujuan program makan gratis yang BERGIZI. harus memenuhi: *karbo *protein *vitamin *mineral *lemak Apakah makanan yg km tawar digolongkan bergizi? Kemudian kita realistis aja dengan anggaran 10 rb/anak mungkin 5 gizi ini bisa dipenuhi tp pertanyaannya apakah mencukupi?,1,0,0,0,negatif
Fri Dec 13 12:38:04 +0000 2024,CiutanBerita,Megawati Kritik Anggaran Makan Bergizi Gratis Cuma Rp10 Ribu Per Porsi https://t.co/PcYzPNf0FI,0,0,0,0,netral
Fri Dec 13 12:33:47 +0000 2024,garudatvnews,Perdebatan soal makan bergizi gratis Rp10 ribu makin panas. Megawati dengan tegas meminta hitungan ulang mengkhawatirkan dampak kenaikan harga bagi rakyat. Namun Kepala Bapanas dan Badan Gizi yakin jika dihitung sesuai porsi anggaran ini masih cukup. #garudatv #laporan8 https://t.co/Gw339BHyeq,0,0,0,0,netral
Fri Dec 13 12:08:13 +0000 2024,kalbarfyi,Anggaran Makan Bergizi Gratis Rp10 Ribu Megawati: Mas Bowo Tolong Hitung Lagi!! https://t.co/kgjeteBRdY,0,0,0,0,netral
Fri Dec 13 11:04:14 +0000 2024,immanuel_padang,@ItsMe_RBH @Uki23 Di point mana programnya dijalankan dngn sangat bagus dari sisi biaya?? Apakah angka 10rb bs diterapkan di seluruh daerah?? Bagaimana sistem pelaksanaan di daerah krna sampai skrn juknis ny blm ada dan APBD daerah rata2 sudah selesai blm ada anggaran makan bergizi,0,0,0,0,negatif
Fri Dec 13 10:56:03 +0000 2024,TomatskillO,@IchelMiCiell pilih program yg bikin inflasi turun yaitu makan bergizi gratis bukan program yg buang² anggaran negara kartu sakti spt yg disebut ganjar jd kita masyarakat kecil agak terbantu utk membelanjakan uang that's it ,0,0,1,0,positif
Fri Dec 13 09:18:19 +0000 2024,butor86,Megawati kritik anggaran program makan bergizi gratis Prabowo Subianto: Rp 10 ribu dapat apa toh? https://t.co/NvvmodgLtk,0,0,0,0,netral
Fri Dec 13 08:00:36 +0000 2024,officialinews_,@sosmedkeras Megawati Minta Prabowo Hitung Ulang Anggaran Makan Bergizi Gratis https://t.co/zxnbIXEGfF,0,0,0,0,netral
Fri Dec 13 07:18:52 +0000 2024,jpnncom,Kritikan Mega Soal Anggaran Makan Bergizi Gratis Rp 10 Ribu Dinilai Kurang Tepat https://t.co/8cde5lW4O8,0,0,0,0,netral
Fri Dec 13 06:30:28 +0000 2024,123Jack96250,@kandraja5 @Schuwandi19 @DoankWarto Apanya yang bergizi dari 6k itu? Akalnya mana 12k itu baru dapat yang bergizi dan tetep kurang dari anggaran 10k. Ditambah harga bahan tiap daerah beda makan gratis di sekolah pelosok terpencil ngedatangin bahan bakunya mana cukup kalau kabupaten di Jawa baru cukup.,0,0,1,0,negatif
Fri Dec 13 06:22:41 +0000 2024,SmartFM_Manado,Megawati kritik program makan bergizi gratis Presiden Prabowo. 10 ribu dapat apa? Paling tempe katanya. Ia mendukung idenya tapi meminta anggaran lebih realistis. Gimana menurutmu? #BeritaTerkini #MegawatiSoekarnoputri #Prabowo,0,0,0,0,netral
Fri Dec 13 05:53:29 +0000 2024,tribunkaltim,Kritik Anggaran Makan Bergizi Gratis Cuma Rp 10 Ribu Megawati Minta Prabowo Hitung Ulang Ini Alasannya #TribunKaltim #MakanBergiziGratis #Prabowo https://t.co/Uc8ehZ3dpT lewat @tribunnews,0,0,0,0,netral
Fri Dec 13 05:25:08 +0000 2024,keuangannews_id,Megawati Kritik Anggaran Program Makan Bergizi Gratis Rp 10.000 per Porsi: Mas Bowo Tolong Dihitung Lagi https://t.co/s4vmviBzbB lewat @Keuangan News,2,0,0,2,netral
Fri Dec 13 04:22:52 +0000 2024,pecintankri12,@FirEdwin68938 @DoankWarto @Bambang77197468 Cobak sampeyan buat menu makan siang gratis (acuannya makanan bergizi) dgn anggaran 10.000/pak untuk anak 200 orang aja. Tujuannya spy anak tumbuh tinggi dan cerdas minimal kek di Cina dan Korea. Monggo silaken dijawab. Dgn catatan penyelenggara masih untung.,1,0,1,0,negatif
Fri Dec 13 04:17:31 +0000 2024,jendreali,Aman terkendali anggaran Makan Bergizi Gratis tak pakai utang #TakAdaUtangMBG https://t.co/fOm6VNyhd6,0,0,0,0,netral
Fri Dec 13 04:16:40 +0000 2024,kantwor,Presiden Prabowo Pastikan Anggaran untuk Makan Bergizi Gratis Bukan dari Utang #TakAdaUtangMBG https://t.co/nazgB47k9O,0,0,0,0,netral
Fri Dec 13 04:01:31 +0000 2024,pekalongan_info,Ketua Umum PDIP Megawati Soekarnoputri mengkritik anggaran Rp10 ribu per porsi dalam program Makan Bergizi Gratis (MBG) yang digagas Presiden Prabowo. Megawati mengaku mendukung program makan bergizi gratis namun ia menilai angka tersebut tidak realistis di tengah kenaikan https://t.co/c5Nl9WhTYj,1,0,0,0,netral
Fri Dec 13 03:52:16 +0000 2024,Metro_TV,Ketum PDIP Megawati Soekarno putri mengaku mendukung program #makanbergizigratis Presiden #Prabowo. Namun menurut #Megawati anggaran 10 ribu rupiah/porsi tidak cukup di tengah harga bahan pokok yang naik. Megawati meminta Prabowo mengevaluasi harga program makan bergizi gratis. https://t.co/3UEXMGTC5Q,9,0,4,2,netral
Fri Dec 13 03:51:34 +0000 2024,kompascom,Partai Nasdem menilai pemerintah memiliki pertimbangan dalam menetapkan anggaran makan bergizi gratis senilai Rp 10.000 per porsi. &lt; #Megawati #Nasdem https://t.co/uuGIHGHcqc,9,1,12,1,netral
Fri Dec 13 03:37:48 +0000 2024,kompascom,Kepala BPOKK DPP Partai Demokrat Herman K menilai anggaran untuk program makan bergizi saat ini sudah pas. Dia menyampaikan ini merespons pernyataan Presiden ke-5 RI Megawati yang meminta anggaran program itu dikaji kembali. &lt; #Megawati #Demokrat https://t.co/VquwLBWViN,20,2,40,3,netral
Fri Dec 13 03:37:36 +0000 2024,kompascom,Presiden ke-5 RI Megawati Soekarnoputri meminta Presiden Prabowo Subianto untuk menghitung ulang anggaran program makan bergizi gratis sebesar Rp 10.000 per porsi. //MR #Megawati #Prabowo #MakanBergiziGratis https://t.co/Z4hz8YBA80,1,0,0,0,netral
Fri Dec 13 03:00:02 +0000 2024,NasionalBerita_,Setuju Program Makan Bergizi Gratis Megawati Soroti Anggaran Rp 10 Ribu Per Anak #beritanasional #jumat #makanbergizigratis #megawati #anggaranmakangratis https://t.co/6AwwDpYtJR,1,0,0,0,netral
Fri Dec 13 02:50:00 +0000 2024,detikcom,Megawati mengusulkan agar anggaran program makan bergizi gratis untuk dikaji kembali. Demokrat menilai anggaran tersebut sudah pas. https://t.co/3A3og4ITty,2,0,0,1,netral
Fri Dec 13 01:58:09 +0000 2024,radarjabar_id,Kritik Anggaran Makan Bergizi Megawati: Hai Mas Bowo Rp10 Ribu Dapat Apa? https://t.co/PPEosbBnRQ #RadarJabar #anggaranMakanBergiziGratis #Megawatai #Prabowo #PDIP,1,0,0,0,negatif
Fri Dec 13 01:51:27 +0000 2024,Schuwandi19,@DoankWarto Ya gak manuk akal makan bergizi 10rb itu anggaran loh. Keuntungan cateringnya berapa coba? Masak 2rb? Katakanlah 2rb sisa 8rb. Korupsinya ditengah2 berapa? Habis lah,3,0,3,0,negatif
Fri Dec 13 01:05:24 +0000 2024,officialinews_,Megawati Minta Prabowo Hitung Ulang Anggaran Makan Bergizi Gratis https://t.co/zxnbIXEGfF,0,0,0,0,netral
Fri Dec 13 00:06:26 +0000 2024,pikiran_rakyat,Megawati Soekarnoputri mengomentari program Presiden Prabowo Subianto yakni makan bergizi gratis (MGB) yang digagas bersama Wakil Presiden Gibran putra sulung eks presiden Jokowi. Menurut Mega anggaran program itu perlu ditinjau lagi . Eks presiden kelima RI Megawati mengaku https://t.co/uEoAcLleZt,3,0,0,0,netral
Thu Dec 12 23:38:57 +0000 2024,pikiran_rakyat,Selamat Pagi Sobat PR! . Headline News hari ini di Koran Pikiran Rakyat membahas Indonesia Ditahan Laos 3-3 Pertahanan Garuda Masih Rapuh Tantangan Berat Kasus DBD dan Perlu Ditinjau Ulang Anggaran Makan Bergizi Gratis. . Jangan Lupa Beli dan Baca Harian Umum Pikiran Rakyat! https://t.co/6qGWr2svlv,4,0,1,0,netral
Thu Dec 12 23:37:58 +0000 2024,swarafakta_news,Mengapa Megawati Minta Prabowo Hitung Ulang Anggaran Program Makan Bergizi Gratis? Baca selengkapnya di https://t.co/UPidMzPHkR #berita #hukum #politik #ekonomi https://t.co/uNUQi5g6b4,0,0,0,0,netral
Thu Dec 12 18:38:13 +0000 2024,slotasiabet88,Megawati Kritik Anggaran Rp 10 Ribu untuk Makan Bergizi Gratis Prabowo_ Mas Bowo Tolong Hitung Lagi #berita #beritaviral #beritaterbaru #beritaterkini #beritahariini #beritanasional #beritaindonesia https://t.co/fpdIFUE92n,0,0,0,0,netral
Thu Dec 12 15:35:27 +0000 2024,win_ardie,@are_inismyname @prabowo @Gerindra @Ndons_Back @Kimberley_PS08 @florieliciouss @temanduit @adri_zizie @MIrvanDarwin1 @BANGSAygSUJUD @IrawanRommi @DarekaRendy Maksud Bu Mega bener kok.. Apa yang salah..? Jika dia ingin makan gratis lebih bergizi dengan anggaran yg cukup... Kenyataan jaman sekarang harga sembako naik semua...,0,0,0,0,positif
Thu Dec 12 14:59:33 +0000 2024,OposisiCerdas,Megawati Kritik Anggaran Makan Bergizi Gratis: Rp 10 Ribu tak Masuk Akal https://t.co/D1IA8NhmeF,20,1,0,15,netral
Thu Dec 12 14:57:38 +0000 2024,agungtriat53466,79 Thn Indonesia merdeka ternyata anak2 Indonesia kurang gizi 10 thn pemerintahan Jokowi cuma menghasilkan anak2 kurang gizi ...Soroti Anggaran Rp 10.000 Makan Bergizi Gratis Megawati: Mas Bowo Tolong Hitung Lagi https://t.co/1lPBOzp4Ul,0,0,0,0,netral
Thu Dec 12 14:34:39 +0000 2024,kanalsa_id,Presiden ke-5 RI Megawati Soekarnoputri memberikan sorotan tajam terkait anggaran Rp 10.000 untuk program makan bergizi gratis yang dicanangkan Pemerintahan Prabowo Subianto. #kanalsa #Megawati #Prabowo #MakanBergiziGratis #PDI #Pilpres2024 #ProgramMakananBergizi https://t.co/KikfNzlWRh,0,0,0,0,netral
Thu Dec 12 12:45:29 +0000 2024,yus13rizal,Ayolah pak @prabowo dihitung ulang anggaran makan bergizi gratisnya atau kalau memang gak ada dananya ya ditunda dulu aja. Kami masyarakat juga maklum kok kalau negara lagi cekak APBN jebol mulu karena hutang yang ugal-ugalan di zamannya presiden Jokowi.,1,0,0,0,negatif
Thu Dec 12 11:51:10 +0000 2024,matapadma,Megawati Dukung Program Makan Bergizi Gratis Soroti Anggaran Rp 10.000 per Porsi Presiden ke-5 RI Megawati Soekarnoputri menyatakan dukungannya terhadap program makan bergizi gratis yang akan dilaksanakan oleh pemerintahan Presiden Prabowo Subianto. #prabowo #makanbergizi https://t.co/aXkf4ebXHu,1,0,0,0,netral
Thu Dec 12 11:34:43 +0000 2024,hdyannnnnn,@kompascom gua tunggu ntar adek gua tanggal 2 apakah bakal realistis dapet makan bergizi gratis kaga yaaa??? kalo kaga ntar adek gua yng SMA itu suruh marah2 ke bowo soalnya dia junjung bat Bowo waktu kmren ! ntar gua sunat juga lah anggaran jjn dia xixixixii,1,0,0,0,negatif
Thu Dec 12 11:28:06 +0000 2024,k_tuaethnic,Ibu Mega dlm sambutannya memberi masukan sama Mas Bowo berkaitan dgn Program Makan Bergizi Gratis. Ada pesan Ibu Mega soal dikaji kembali anggaran 10.000 utk MBG. Sepertinya kode hubungan antara Ibu Mega &amp; Pak Bowo akan terbangun baik ke depan. Apalagi Pram/Doel menang di DKJ,1,0,0,0,netral
Thu Dec 12 11:25:21 +0000 2024,Metro_TV,Ketua Umum PDI Perjuangan Megawati Soekarnoputri memberikan pesan soal program makan bergizi gratis kepada Presiden Prabowo Subianto. Menurut Megawati anggaran program sebesar 10.000 rupiah per anak dinilai masih kurang. #megawati #prabowo #makanbergizigratis https://t.co/jxcsMgv8v7,14,3,7,3,netral
Thu Dec 12 11:24:46 +0000 2024,are_inismyname,@Bambangmulyonoo @prabowo @Gerindra @Ndons_Back @Kimberley_PS08 @florieliciouss @temanduit @adri_zizie @MIrvanDarwin1 @BANGSAygSUJUD @IrawanRommi @DarekaRendy Fokus pada kalimat bu mega dong... Yg disoroti kan soal 10 rb nya... Dan bukan rahasia lagi itu anggaran untuk makan siang bergizi,5,1,9,0,netral
Thu Dec 12 10:50:54 +0000 2024,TajukNasional,Minta Tambahan Anggaran Megawati Soekarnoputri Dukung Program Makan Bergizi Gratis Presiden Prabowo https://t.co/Je2BiSjenH,0,0,0,0,netral
Thu Dec 12 10:49:41 +0000 2024,NenkMonica,Ketum PDIP Megawati meminta Presiden Prabowo untuk menghitung ulang anggaran makan bergizi gratis yang mencapai Rp 10.000 per porsi. Menurut Presiden ke 5 ini anggaran tersebut kurang cukup untuk membeli makanan dengan kaya gizi. https://t.co/ntzxz8eOch,31,1,4,10,netral
Thu Dec 12 10:23:54 +0000 2024,Repelita_News,Kritik Anggaran Makan Bergizi Rp10 Ribu Megawati: Hai Mas Bowo Tolong Dihitung Lagi https://t.co/kFGATFMG2m,0,0,0,0,netral
Thu Dec 12 09:51:36 +0000 2024,finindonesia,Megawati Kritik Anggaran Makan Bergizi: Hai Mas Bowo Rp10 Ribu Dapat Apa? Baca Selengkapnya: https://t.co/brC8pKeBLP https://t.co/FDpEvPyy51,0,0,0,0,netral
Thu Dec 12 09:31:16 +0000 2024,geloraco,Megawati Kritik Anggaran Makan Bergizi Gratis: Hai Mas Bowo Rp 10 Ribu tak Masuk Akal https://t.co/ZGpdk1nOg4,6,1,3,2,netral
Thu Dec 12 08:57:33 +0000 2024,rilpolitikcom,Anggaran Makan Bergizi Gratis Rp10 Ribu per Porsi Megawati Minta Prabowo Hitung Ulang https://t.co/3fTe79RCKZ,0,0,0,0,netral
Thu Dec 12 08:54:00 +0000 2024,asumsico,Mantan Presiden Megawati Soekarnoputri mengkritisi alokasi anggaran untuk program Makan Bergizi Gratis (MBG) yang ditetapkan hanya sebesar Rp10 ribu per anak per porsi. Dia menilai anggaran sebesar itu tidak masuk akal lantaran terlalu kecil. https://t.co/eRDXPCwBjL,41,1,4,3,netral
Thu Dec 12 08:50:00 +0000 2024,detikcom,Megawati sebut anggaran Rp 10.000 untuk makan bergizi gratis tidak cukup. Ia pun sampaikan pesan ke Presiden Prabowo agar meninjau kembali anggaran tersebut. https://t.co/nIIuBQcpQC,31,4,16,5,netral
Thu Dec 12 08:39:26 +0000 2024,Repelita_News,Megawati Kritik Anggaran Makan Bergizi Gratis Rp10.000: Mas Bowo Tolong Hitung Lagi Rp10.000 dapat apa toh? https://t.co/PcLrCIFWP6,0,0,0,0,netral
Thu Dec 12 08:28:19 +0000 2024,hariankompas,Singgung Program Makan Bergizi Gratis Megawati: Rp 10.000 Dapat Apa? Ketua Umum Partai Demokrasi Indonesia Perjuangan atau PDI-P Megawati Soekarnoputri meminta agar anggaran Rp 10.000 per porsi untuk program makan bergizi gratis dihitung ulang. Presiden ke-5 RI itu menilai https://t.co/wOJeLEjXIg,2,0,0,1,netral
Thu Dec 12 08:07:04 +0000 2024,BarisanOpOsisi,Zulhas Yusril Pigai dan Basuki minta tambahan anggaran ratusan milyar dan triliyunan....sementara makan bergizi gratisnya diturunin menjadi 10rb. https://t.co/XpYj5fdJ2N,31,0,4,13,netral
Thu Dec 12 08:04:26 +0000 2024,kompascom,Presiden ke-5 RI Megawati Soekarnoputri mendukung program makan bergizi gratis yang bakal dilaksanakan pemerintahan Presiden Prabowo Subianto. Meski begitu Megawati menyoroti anggaran program makan bergizi gratis yang disiapkan pemerintah yakni Rp 10.000 per porsi. Hal itu https://t.co/imJs440tQZ,725,55,278,116,netral
Thu Dec 12 07:02:33 +0000 2024,officialinews_,Megawati Kritik Anggaran Makan Bergizi Gratis Rp10.000: Mas Bowo Tolong Hitung Lagi https://t.co/k0S4bY0fbP,0,0,0,0,netral
Thu Dec 12 07:00:14 +0000 2024,hariankompas,Ketum PDI-P Megawati Soekarnoputri meminta Presiden Prabowo Subianto untuk mengkaji ulang rencana anggaran Rp 10.000 per porsi untuk program makan bergizi gratis. #Polhuk #AdadiKompas https://t.co/1A5UdWMeAC,0,0,0,0,netral
Wed Dec 11 14:05:33 +0000 2024,BeeInsfire,@mardigu024 Coba tolong hitungan sekalian bansos bng anggaran/tahun brapa dan yng di salurkan brapa..? Ini lebih gila lagi dri makan bergizi,0,0,0,0,netral
Wed Dec 11 13:46:18 +0000 2024,pencerahnkri,@detikcom Sippp lah... negara butuh anggaran utk makan bergizi gratis,0,0,0,0,negatif
Wed Dec 11 12:14:45 +0000 2024,irawanti230,https://t.co/4K3O08fpaN Pemangkasan anggaran makan bergizi gratis menjadi Rp10 ribu adalah langkah tegas Presiden Prabowo untuk memastikan anggaran negara digunakan secara tepat sasaran bukan hanya sekadar pencitraan tanpa dampak nyata!,0,0,0,0,positif
Wed Dec 11 12:06:27 +0000 2024,tvOneNews,Presiden Prabowo Subianto mengatakan program Makan Bergizi Gratis (MBG) merupakan langkah strategis untuk memberdayakan ekonomi di pedesaan. Hal tersebut disampaikan Prabowo saat acara penyerahan Daftar Isian Pelaksanaan Anggaran (DIPA) dan Buku Daftar Alokasi Transfer ke https://t.co/vc8AT7ojqN,2,0,0,0,netral
Wed Dec 11 12:02:07 +0000 2024,tvOneNews,Presiden Prabowo Subianto mengumumkan bahwa program makan bergizi gratis akan meningkatkan alokasi anggaran ke desa-desa. Hal ini sebagai upaya untuk memberdayakan ekonomi di tingkat pedesaan kecamatan hingga provinsi. Simak berita selengkapnya hanya di https://t.co/vYOVnhXcaN,4,0,0,2,netral
Wed Dec 11 12:00:01 +0000 2024,PDI_Perjuangan,Anggota DPR RI Fraksi PDI Perjuangan Bonnie Triyana menyoroti keputusan pemerintah yang menurunkan anggaran makan bergizi gratis dari Rp 15.000 menjadi Rp 10.000 per porsi perlu ditinjau ulang terutama di wilayah Papua. Bonnie Triyana menekankan pentingnya kajian yang serius https://t.co/YLrEDAkmc7,30,0,0,7,netral
Wed Dec 11 11:23:18 +0000 2024,NalarPolitik_,Padahal Menurut Prabowo penghematan anggaran itu bisa membangun bendungan irigasi sarana pendidikan serta mendanai program makan bergizi gratis. https://t.co/LYsj397XuM,4,0,0,2,positif
Wed Dec 11 11:13:10 +0000 2024,Gun999Mas,@CakD3pp Selain belum tentu kapok biaya rehabilitasinya juga kan tdk sedikit. Kalau boleh saran ... lbh baik biaya rehabilitasi narkoboy utk menambah anggaran menu makan bergizi anak Indonesia.,1,0,0,0,positif
Wed Dec 11 10:08:02 +0000 2024,giIangmahesa,Gimana caranya pemerintah membayar penyedia jasa pengadaan makan bergizi gratis dengan lancar tepat waktu? Jaminanya? Kalau pakai duit pribadi saat ujicoba sih mudah saat gunakan sistem anggaran negara gimana caranya semudah saat ujicoba ,3,0,0,1,negatif
Wed Dec 11 09:55:39 +0000 2024,akuteguh5,Kemudian ketahanan pangan Rp144 6 triliun serta program makan bergizi senilai Rp71 triliun dan anggaran dana desa Rp70 triliun.,0,0,1,0,netral
Wed Dec 11 09:26:11 +0000 2024,akuratco,Presiden Prabowo mengumumkan program makan bergizi gratis (MBG) akan meningkatkan alokasi anggaran ke desa-desa sebagai upaya untuk memberdayakan ekonomi di tingkat pedesaan kecamatan hingga provinsi. Bahkan Presiden mengatakan MBG dapat membuat peredaran uang di desa https://t.co/XxYPTVSZMC,1,0,0,1,netral
Wed Dec 11 07:58:28 +0000 2024,lehon_mangolu,Program makanan bergizi yang dialokasikan anggaran Rp 71 triliun diharapkan akan dapat meningkatkan perekonomian di daerah dan terutama di desa-desa di dalam rangka untuk menyuplai kebutuhan program makan siang bergizi.,0,0,1,0,netral
Wed Dec 11 07:27:38 +0000 2024,JhonSitorus_18,Presidennya NGOS-NGOSAN cari uang sampe NGUTANG ke Luar negeri demi dana Makan Bergizi Gratis Eh pejabat2nya GA NGOTAK malah kunjungan ke Turki. Jelas pake anggaran BESAR. Sebenarnya wibawa Presiden ditaro dimana sih sama orang2 Kemenperin? Macan Asia lho ini woi...! https://t.co/pa7Kt8rL31,208,2,46,58,negatif
Wed Dec 11 07:00:01 +0000 2024,pajakcom,Anggaran Program Makan Bergizi Gratis Capai Rp71 Triliun https://t.co/fWC1y3K92R,0,0,0,0,netral
Wed Dec 11 05:45:34 +0000 2024,Metro_TV,Presiden Prabowo Subianto menyampaikan bahwa program unggulan makan bergizi gratis dapat meningkatkan peredaran uang di desa-desa hingga mencapai Rp8 miliar per desa per tahun. Hal ini disampaikan dalam gelaran penyerahan Daftar Isian Pelaksanaan Anggaran (DIPA) dan Transfer ke https://t.co/nE7ncLTV3t,4,0,8,2,netral
